Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
177,,05-02-2018,10-02-2018,16-02-2018,22-02-2018,27-02-2018,,05-03-2018,,18-03-2018,F
178,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,14-03-2018,M
179,27-02-2018,05-02-2018,10-02-2018,21-02-2018,,,,,,,
180,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,24-02-2018,,04-03-2018,,13-03-2018,M
181,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,28-02-2018,,06-03-2018,,16-03-2018,F
182,,05-02-2018,10-02-2018,16-02-2018,23-02-2018,28-02-2018,03-03-2018,07-03-2018,,15-03-2018,M
183,,05-02-2018,10-02-2018,19-02-2018,24-02-2018,01-03-2018,,06-03-2018,,15-03-2018,M
184,,05-02-2018,10-02-2018,16-02-2018,22-02-2018,26-02-2018,,03-03-2018,,11-03-2018,M
185,,05-02-2018,10-02-2018,21-02-2018,27-02-2018,03-03-2018,,08-03-2018,,17-03-2018,M
186,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,04-03-2018,,13-03-2018,M
187,,05-02-2018,10-02-2018,17-02-2018,24-02-2018,28-02-2018,,06-03-2018,,15-03-2018,M
188,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,27-02-2018,03-03-2018,07-03-2018,,17-03-2018,F
189,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,04-03-2018,,15-03-2018,M
190,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,04-03-2018,,12-03-2018,M
191,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,13-03-2018,M
192,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,26-02-2018,,03-03-2018,,13-03-2018,M
193,22-02-2018,05-02-2018,10-02-2018,18-02-2018,,,,,,,
194,,05-02-2018,10-02-2018,19-02-2018,23-02-2018,28-02-2018,,04-03-2018,,14-03-2018,F
195,,05-02-2018,10-02-2018,19-02-2018,25-02-2018,01-03-2018,06-03-2018,11-03-2018,,19-03-2018,M
196,04-04-2018,05-02-2018,10-02-2018,21-02-2018,,,,,,,
