Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_2_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,L6.5,Time_in_treatment_L6.5,Days_3_L6.5,Time_to_20deg_L6.5,Pupa,Sex
189,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,05-04-2018,F
190,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,16-03-2018,12:00,17-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,23-03-2018,12:00,25-03-2018,09:00,,,,,26-03-2018,12:00,29-03-2018,09:00,,,,,02-04-2018,F
191,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,30-03-2018,10:00,02-04-2018,09:00,,,,,06-04-2018,F
193,29-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,25-03-2018,12:00,26-03-2018,09:00,,,,,,,,,,,,,,,,,,
194,24-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,,,,,,,,,,,,,,,,,,
195,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,07-04-2018,M
196,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,16-03-2018,12:00,17-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,24-03-2018,11:00,26-03-2018,09:00,,,,,27-03-2018,11:00,30-03-2018,09:00,,,,,02-04-2018,F
197,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,22-03-2018,11:00,23-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,29-03-2018,11:00,01-04-2018,11:00,,,,,06-04-2018,F
198,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,22-03-2018,11:00,23-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,03-04-2018,M
199,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,13-04-2018,F
200,24-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,16-03-2018,12:00,17-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,27-03-2018,11:00,30-03-2018,09:00,,,,,09-04-2018,F
2,21-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
3,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,24-03-2018,11:00,25-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,10-04-2018,F
4,16-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
6,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,16-03-2018,12:00,17-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,27-03-2018,11:00,30-03-2018,09:00,,,,,03-04-2018,F
7,15-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
9,09-04-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,25-03-2018,12:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,31-03-2018,11:00,02-04-2018,09:00,,,,,,,,,,
10,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,23-03-2018,12:00,24-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,30-03-2018,10:00,02-04-2018,09:00,,,,,11-04-2018,M
13,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,03-04-2018,M
14,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,06-04-2018,M
15,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,22-03-2018,11:00,23-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,04-04-2018,M
16,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,16-03-2018,12:00,17-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,,,,,,,,,,,,,,,,,,
18,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,23-03-2018,12:00,24-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,29-03-2018,11:00,01-04-2018,11:00,,,,,04-04-2018,M
19,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,23-03-2018,12:00,24-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,06-04-2018,M
20,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,16-03-2018,12:00,17-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,23-03-2018,12:00,25-03-2018,09:00,,,,,25-03-2018,12:00,28-03-2018,09:00,,,,,02-04-2018,M
22,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
23,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,24-03-2018,11:00,25-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,01-04-2018,13:00,04-04-2018,09:00,,,,,10-04-2018,F
