Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L6,Time_in_treatment_L6,Days_5_L6,Time_to_20deg_L6,Pupa,Sex
79,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
80,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,25-12-2017,16:00,30-12-2017,10:00,14-01-2018,F
81,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,20-12-2017,14:00,25-12-2017,15:00,09-01-2018,F
82,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,05-01-2018,F
83,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,17-12-2017,10:20,18-12-2017,10:48,22-12-2017,09:45,24-12-2017,13:00,28-12-2017,10:00,02-01-2018,09:00,22-01-2018,F
84,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
85,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
86,21-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,16-12-2017,10:30,18-12-2017,10:30,,,,,,
87,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
88,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,10-12-2017,10:30,11-12-2017,10:24,13-12-2017,11:27,15-12-2017,10:30,16-12-2017,10:30,21-12-2017,09:30,25-12-2017,M
89,04-12-2016,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
90,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,15-12-2017,10:30,16-12-2017,10:30,20-12-2017,14:00,22-12-2017,09:20,24-12-2017,14:00,29-12-2017,09:00,07-01-2018,F
91,17-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,15-12-2017,10:30,17-12-2017,10:23,,,,,,
92,11-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,,,,,,,,,,,,,,
93,26-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,22-12-2017,09:45,27-12-2017,10:00,,
94,24-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,,,,,,
95,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,13-12-2017,11:27,14-12-2017,10:55,15-12-2017,10:30,16-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,24-12-2017,14:00,29-12-2017,09:00,05-01-2018,F
96,02-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,13-12-2017,11:27,14-12-2017,10:55,15-12-2017,10:30,16-12-2017,10:30,20-12-2017,14:00,22-12-2017,09:20,26-12-2017,11:00,31-12-2017,09:00,,
97,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
98,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
99,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,31-12-2017,F
100,09-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
101,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
102,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,03-01-2018,F
103,06-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
104,17-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,15-12-2017,10:30,16-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,27-12-2017,11:00,01-01-2018,11:00,,
105,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
106,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
107,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,06-01-2018,F
108,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,12:30,18-12-2017,10:53,20-12-2017,12:00,20-12-2017,14:00,25-12-2017,15:00,31-12-2017,M
109,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,12:30,18-12-2017,10:53,20-12-2017,12:00,21-12-2017,10:30,26-12-2017,10:00,30-12-2017,M
110,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
111,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,31-12-2017,F
112,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
113,29-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,16-12-2017,10:30,18-12-2017,10:30,20-12-2017,14:00,25-12-2017,15:00,,
114,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,22-12-2017,09:45,27-12-2017,10:00,30-12-2017,M
115,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,16-12-2017,10:30,18-12-2017,10:30,21-12-2017,10:30,26-12-2017,10:00,31-12-2017,F
116,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,16-12-2017,10:30,18-12-2017,10:30,23-12-2017,13:00,28-12-2017,09:00,28-12-2017,M
117,04-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
118,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
119,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
120,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,12:30,17-12-2017,10:20,19-12-2017,09:50,20-12-2017,14:00,25-12-2017,15:00,01-01-2018,M
121,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,22-12-2017,09:45,27-12-2017,10:00,05-01-2018,F
122,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,14-12-2017,10:55,15-12-2017,10:30,20-12-2017,14:00,22-12-2017,09:20,26-12-2017,11:00,31-12-2017,09:00,10-01-2018,F
123,06-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
124,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,05-01-2018,F
125,02-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,20-12-2017,14:00,22-12-2017,09:20,28-12-2017,10:00,02-01-2018,09:00,,
126,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,02-01-2018,F
127,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,14-12-2017,10:55,15-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,25-12-2017,16:00,30-12-2017,10:00,09-01-2018,F
128,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,30-12-2017,M
129,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,02-01-2018,F
130,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,16-12-2017,10:30,18-12-2017,10:30,22-12-2017,09:45,27-12-2017,10:00,01-01-2018,F
131,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
132,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,12:30,18-12-2017,10:53,20-12-2017,12:00,22-12-2017,09:45,27-12-2017,10:00,03-01-2018,F
133,22-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,12-12-2017,12:15,13-12-2017,09:20,,,,,,,,,,,,,,
134,04-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
135,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,02-01-2018,M
136,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,01-01-2018,F
137,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
