Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
8,,16-05-2018,21-05-2018,,,,,,,
9,,16-05-2018,21-05-2018,,,,,,,
10,,16-05-2018,21-05-2018,,,,,,,
11,,16-05-2018,21-05-2018,,,,,,,
12,,16-05-2018,21-05-2018,,,,,,,
13,,16-05-2018,21-05-2018,,,,,,,
14,,16-05-2018,21-05-2018,,,,,,,
15,,16-05-2018,21-05-2018,,,,,,,
16,,16-05-2018,21-05-2018,,,,,,,
17,,16-05-2018,21-05-2018,,,,,,13-07-2018,F
18,,16-05-2018,21-05-2018,,,,,,,
19,,16-05-2018,21-05-2018,,,,,,,
20,,16-05-2018,21-05-2018,,,,,,,
21,,16-05-2018,21-05-2018,,,,,,,
22,,16-05-2018,21-05-2018,,,,,,,
23,,16-05-2018,21-05-2018,,,,,,,
24,,16-05-2018,21-05-2018,,,,,,,
25,,16-05-2018,21-05-2018,,,,,,,
26,,16-05-2018,21-05-2018,,,,,,,
27,,16-05-2018,21-05-2018,,,,,,,
28,,16-05-2018,21-05-2018,,,,,,,
29,,16-05-2018,21-05-2018,,,,,,,
30,,16-05-2018,21-05-2018,,,,,,,
31,,16-05-2018,21-05-2018,,,,,,,
32,,16-05-2018,21-05-2018,,,,,,,
33,,16-05-2018,21-05-2018,,,,,,,
34,,16-05-2018,21-05-2018,,,,,,,
35,,16-05-2018,21-05-2018,,,,,,,
36,,16-05-2018,21-05-2018,,,,,,,
37,,16-05-2018,21-05-2018,,,,,,,
38,,16-05-2018,21-05-2018,,,,,,,
39,,16-05-2018,21-05-2018,,,,,,,
40,,16-05-2018,21-05-2018,,,,,,,
41,,16-05-2018,21-05-2018,,,,,,,
42,,16-05-2018,21-05-2018,,,,,,,
43,,16-05-2018,21-05-2018,,,,,,,
44,,16-05-2018,21-05-2018,,,,,,02-07-2018,M
45,,16-05-2018,21-05-2018,,,,,,,
46,,16-05-2018,21-05-2018,,,,,,,
47,,16-05-2018,21-05-2018,,,,,,,
48,,16-05-2018,21-05-2018,,,,,,,
49,,16-05-2018,21-05-2018,,,,,,,
50,,16-05-2018,21-05-2018,,,,,,,
