Cup,Dead,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,DAYS_TIL_MOULT_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,DAYS_TIL_MOULT_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,DAYS_TIL_MOULT_L4,skippers_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,DAYS_TIL_MOULT_L5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,DAYS_TIL_MOULT_L6,skippers_L6,Pupa,Sex,total_days,Extra
22,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,12:19,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,1
23,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,12:19,4,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,8,,2006-02-17,F,22,1
24,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,1
25,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,M,19,1
26,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,1,,2023-01-17,10:44,2024-01-17,11:20,2,2025-01-17,10:45,2028-01-17,09:50,7,,2001-02-17,M,17,1
27,2018-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,1
28,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,12:19,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,9,,2006-02-17,F,22,1
29,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,12:19,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,1
30,2021-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,09:22,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,M,20,1
32,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,5,2026-01-17,10:50,2027-01-17,10:00,,,,,,,,1930-01-17,09:43,2002-02-17,09:50,7,,2006-02-17,M,22,1
33,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,4,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,F,21,1
34,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,8,2002-02-17,09:50,2005-02-17,09:00,6,,2008-02-17,F,24,1
35,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,12:19,,6,,,,,,2029-01-17,10:00,2001-02-17,10:00,,8,2006-02-17,M,22,1
36,2009-02-17,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,,,,,,1
37,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,12:19,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,F,18,1
38,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,6,1930-01-17,09:43,2002-02-17,09:50,4,,2003-02-17,F,19,1
39,2028-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,12:19,3,,2026-01-17,10:50,2028-01-17,09:50,,,,,,,,,,,1
40,2026-01-17,2015-01-17,16:15,2016-01-17,15:49,10,2025-01-17,10:45,2026-01-17,10:50,,,,,,,,,,,,,,,,,,,,,,1
41,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,5,2026-01-17,10:50,2027-01-17,10:00,2,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,8,,2007-02-17,F,23,1
42,2020-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,1
43,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,12:19,,4,,,,,,2027-01-17,11:40,1930-01-17,09:29,,9,2005-02-17,M,21,1
44,2029-01-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,,,2024-01-17,09:50,2026-01-17,10:50,,,,,,,,,,,1
45,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,,4,,,,,,2028-01-17,09:50,1931-01-17,09:23,,6,2003-02-17,M,19,1
46,2029-01-17,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,,,,,,,,,,,,,,,,,1
47,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,F,19,1
48,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,12:19,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,M,20,1
49,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,M,20,1
50,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,6,2026-01-17,10:50,2027-01-17,10:00,5,,1931-01-17,09:47,2003-02-17,09:50,2,2002-02-17,09:50,2005-02-17,09:00,6,,2008-02-17,M,24,1
