Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
125,07-02-2018,28-01-2018,01-02-2018,04-02-2018,,,,,,
126,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,22-02-2018,F
127,10-02-2018,28-01-2018,01-02-2018,05-02-2018,07-02-2018,,,,,
128,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,11-02-2018,,15-02-2018,20-02-2018,F
129,,28-01-2018,01-02-2018,04-02-2018,07-02-2018,09-02-2018,,12-02-2018,17-02-2018,M
130,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
131,,28-01-2018,01-02-2018,05-02-2018,09-02-2018,12-02-2018,,14-02-2018,19-02-2018,M
132,,28-01-2018,01-02-2018,05-02-2018,09-02-2018,12-02-2018,,15-02-2018,21-02-2018,F
133,03-03-2018,28-01-2018,01-02-2018,05-02-2018,08-02-2018,12-02-2018,,15-02-2018,,
134,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,15-02-2018,19-02-2018,M
135,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,15-02-2018,,18-02-2018,23-02-2018,F
136,07-02-2018,28-01-2018,01-02-2018,04-02-2018,,,,,,
137,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,09-02-2018,,12-02-2018,19-02-2018,M
138,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,10-02-2018,,14-02-2018,19-02-2018,M
139,,28-01-2018,01-02-2018,04-02-2018,07-02-2018,09-02-2018,,12-02-2018,19-02-2018,F
140,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,09-02-2018,,12-02-2018,16-02-2018,M
141,06-02-2018,28-01-2018,01-02-2018,,,,,,,
142,05-02-2018,28-01-2018,01-02-2018,,,,,,,
143,,28-01-2018,01-02-2018,07-02-2018,09-02-2018,13-02-2018,,16-02-2018,20-02-2018,M
144,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,16-02-2018,22-02-2018,F
145,06-02-2018,28-01-2018,01-02-2018,,,,,,,
146,06-02-2018,28-01-2018,01-02-2018,,,,,,,
147,,28-01-2018,01-02-2018,06-02-2018,10-02-2018,14-02-2018,,19-02-2018,23-02-2018,F
148,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,F
149,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,15-02-2018,23-02-2018,F
150,,28-01-2018,01-02-2018,05-02-2018,09-02-2018,10-02-2018,,13-02-2018,19-02-2018,F
151,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
