Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
172,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,30-03-2018,,04-04-2018,,13-04-2018,M
173,,09-03-2018,14-03-2018,22-03-2018,26-03-2018,30-03-2018,,04-04-2018,,13-04-2018,F
174,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,31-03-2018,,05-04-2018,,17-04-2018,F
175,,09-03-2018,14-03-2018,22-03-2018,28-03-2018,02-04-2018,06-04-2018,11-04-2018,,20-04-2018,F
176,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,28-03-2018,,05-04-2018,,17-04-2018,F
177,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,07-04-2018,,18-04-2018,F
178,,09-03-2018,14-03-2018,22-03-2018,28-03-2018,02-04-2018,,07-04-2018,,16-04-2018,M
179,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,02-04-2018,,07-04-2018,,16-04-2018,M
180,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,31-03-2018,,05-04-2018,,16-04-2018,M
181,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,31-03-2018,,04-04-2018,,13-04-2018,M
182,,09-03-2018,14-03-2018,23-03-2018,29-03-2018,02-04-2018,06-04-2018,11-04-2018,,21-04-2018,F
183,,09-03-2018,14-03-2018,23-03-2018,29-03-2018,03-04-2018,,07-04-2018,,15-04-2018,M
184,,09-03-2018,14-03-2018,22-03-2018,28-03-2018,02-04-2018,,,,19-04-2018,F
185,06-04-2018,09-03-2018,14-03-2018,22-03-2018,28-03-2018,,,,,,
186,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,31-03-2018,,04-04-2018,,13-04-2018,F
187,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,16-04-2018,M
188,19-03-2018,09-03-2018,14-03-2018,,,,,,,,
189,,09-03-2018,14-03-2018,29-03-2018,01-04-2018,03-04-2018,,09-04-2018,,19-04-2018,F
190,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,14-04-2018,M
191,06-04-2018,09-03-2018,14-03-2018,,,,,,,,
192,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,16-04-2018,F
193,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,03-04-2018,,09-04-2018,,19-04-2018,M
194,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,01-04-2018,,06-04-2018,,14-04-2018,M
195,,09-03-2018,14-03-2018,25-03-2018,11-04-2018,,,,,,
