Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
19,,30-04-2018,05-05-2018,,,,,,,
20,,30-04-2018,05-05-2018,,,,,,,
21,,30-04-2018,05-05-2018,,,,,,,
22,,30-04-2018,05-05-2018,,,,,,24-05-2018,F
23,,30-04-2018,05-05-2018,,,,,,27-05-2018,F
24,,30-04-2018,05-05-2018,,,,,,28-05-2018,M
25,,30-04-2018,05-05-2018,,,,,,24-05-2018,M
26,,30-04-2018,05-05-2018,,,,,,26-05-2018,F
27,,30-04-2018,05-05-2018,,,,,,28-05-2018,F
28,,30-04-2018,05-05-2018,,,,,,,
29,,30-04-2018,05-05-2018,,,,,,24-05-2018,F
30,,30-04-2018,05-05-2018,,,,,,,
31,,30-04-2018,05-05-2018,,,,,,07-06-2018,F
32,,30-04-2018,05-05-2018,,,,,,,
33,,30-04-2018,05-05-2018,,,,,,23-05-2018,M
34,,30-04-2018,05-05-2018,,,,,,28-05-2018,M
35,,30-04-2018,05-05-2018,,,,,,25-05-2018,M
36,,30-04-2018,05-05-2018,,,,,,30-05-2018,F
37,,30-04-2018,05-05-2018,,,,,,24-05-2018,M
38,,30-04-2018,05-05-2018,,,,,,,
39,,30-04-2018,05-05-2018,,,,,,26-05-2018,M
40,,30-04-2018,05-05-2018,,,,,,24-05-2018,F
41,,30-04-2018,05-05-2018,,,,,,,
42,,30-04-2018,05-05-2018,,,,,,01-06-2018,F
43,,30-04-2018,05-05-2018,,,,,,24-05-2018,F
44,,30-04-2018,05-05-2018,,,,,,27-05-2018,F
45,,30-04-2018,05-05-2018,,,,,,28-05-2018,M
46,,30-04-2018,05-05-2018,,,,,,30-05-2018,M
47,,30-04-2018,05-05-2018,,,,,,24-05-2018,M
48,,30-04-2018,05-05-2018,,,,,,,
49,,30-04-2018,05-05-2018,,,,,,,
50,,30-04-2018,05-05-2018,,,,,,,
